url,nom,image_url,nom_scientifique,statut,chapeau,pores,lamelles,pied,chair,odeur,saveur,habitat,saison,confusion,categories
https://www.guidedeschampignons.com/produit/agaric-auguste/,AGARIC AUGUSTE,https://www.guidedeschampignons.com/wp-content/uploads/2021/06/Agaric-auguste.jpg,,À rejeter,"5 à 25 cm, couvert de mèches brun-roux sur fond crème, jaunissant au toucher",,,"Blanc, élancé (6 à 20 cm), légèrement en massue, avec un large anneau blanc ample et floconneux.","Blanche, jaunissant lentement à la coupe, rosée dans le pied.",,Douce,"Bois clairs de feuillus ou de conifères, lisières de bois",Juillet > Octobre,,"Agaric, Bois clairs, Champignons à rejeter, CHAMPIGNONS DE AOÛT, CHAMPIGNONS DE JUILLET, CHAMPIGNONS DE OCTOBRE, CHAMPIGNONS DE SEPTEMBRE, Conifères, Feuillus, Lames libres, Lames libres roses puis chocolat, Lames ou plis, Les champignons, Lisières de bois, Un chapeau et un pied"
https://www.guidedeschampignons.com/produit/agaric-des-jacheres/,AGARIC DES JACHÈRES,https://www.guidedeschampignons.com/wp-content/uploads/2021/08/agaricus-arvensis_agaric-des-jacheres.jpg,,Excellent comestible,"5 à 15 cm, lisse, blanc puis jaunissant en vieillissant .",,,"5 à 15 cm, élancé, avec un large anneau blanc en forme de jupe, floconneux sur la face intérieure.","Blanche, ferme",,Douce,"Surtout sous feuillus, clairières, lisières, prairies",Juin > Novembre,,"Agaric, CHAMPIGNONS DE AOÛT, CHAMPIGNONS DE JUILLET, CHAMPIGNONS DE JUIN, CHAMPIGNONS DE NOVEMBRE, CHAMPIGNONS DE OCTOBRE, CHAMPIGNONS DE SEPTEMBRE, Champignons excellents comestibles, Clairières, Feuillus, Lames libres, Lames libres roses puis chocolat, Lames ou plis, Les champignons, Lisières de bois, Prairies, Un chapeau et un pied"
https://www.guidedeschampignons.com/produit/agaric-jaunissant-agaricus-xanthoderma-champignon-toxique/,AGARIC JAUNISSANT,https://www.guidedeschampignons.com/wp-content/uploads/2020/11/Agaricus-xanthoderma_Agaric-jaunissant_francini.jpg,,Toxique,"2 à 15 cm, blanc à grisâtre pâle, lisse, souvent irrégulier et au sommet aplati. Jaunit fortement au toucher.",,,"3 à 15 cm, avec un bulbe net et un anneau floconneux bien formé, jaunit fortement au toucher","Blanche, jaunissant fortement à la base du pied",,,"Prairies, jardins ou bois clairs",Mai > Novembre,,"Agaric, Bois clairs, Champignon jardin, CHAMPIGNONS DE AOÛT, CHAMPIGNONS DE JUILLET, CHAMPIGNONS DE JUIN, CHAMPIGNONS DE MAI, CHAMPIGNONS DE NOVEMBRE, CHAMPIGNONS DE OCTOBRE, CHAMPIGNONS DE SEPTEMBRE, Champignons toxiques, Clairières, Feuillus, Lames libres, Lames libres roses puis chocolat, Lames ou plis, Les champignons, Lisières de bois, Parcs, Pâturages, Pelouses, Prairies, Un chapeau et un pied"
https://www.guidedeschampignons.com/produit/agaric-sylvicole-bon-comestible/,AGARIC SYLVICOLE,https://www.guidedeschampignons.com/wp-content/uploads/2020/11/Agaricus_sylvicola_Agaric-sylvicole_francini.jpg,,Bon comestible,"3 à 12 cm, blanc à crème, centre plus ou moins ocre, lisse. Jaunit au toucher ou avec l’âge.",,,"Blanc, en massue ou bulbeux, 2 à 15 cm, avec un anneau ample et floconneux en dessous","Blanche, ferme",,Douce,"Bois clairs, surtout de feuillus",Août > Octobre,Agaric jaunissant,"Agaric, Bois clairs, Champignons bons comestibles, CHAMPIGNONS DE AOÛT, CHAMPIGNONS DE OCTOBRE, CHAMPIGNONS DE SEPTEMBRE, Feuillus, Lames libres, Lames libres roses puis chocolat, Lames ou plis, Les champignons, Un chapeau et un pied"
https://www.guidedeschampignons.com/produit/amanite-citrine-amanita-citrina-champignon-a-rejeter/,AMANITE CITRINE,https://www.guidedeschampignons.com/wp-content/uploads/2020/11/AdobeStock_315934986_Amanite-citrine_Amanita-citrina.jpg,,À rejeter,"4 à 10 cm, jaune citron pâle, avec des plaques blanchâtres à brunâtres",,,"3 à 15 cm, jaunâtre, avec un anneau mince et ample; base très élargie en bulbe marginé, avec des restes de volve",Blanche à jaune citron pâle,,Douce,Forêts de feuillus et de conifères,Juillet > Octobre,,"Amanite, Champignons à rejeter, CHAMPIGNONS DE AOÛT, CHAMPIGNONS DE JUILLET, CHAMPIGNONS DE OCTOBRE, CHAMPIGNONS DE SEPTEMBRE, Conifères, Feuillus, Lames libres, Lames libres blanches ou crème, Lames libres jaunes, Lames ou plis, Les champignons, Un chapeau et un pied"
https://www.guidedeschampignons.com/produit/amanite-epaisse-amanita-excelsa-var-spissa-comestible-mediocre/,AMANITE ÉPAISSE,https://www.guidedeschampignons.com/wp-content/uploads/2020/11/AMANITE-EPAISSE.jpg,,Comestible médiocre,"3 à 15 cm, brun terne à brun-gris, avec de grosses plaques grisâtres",,,"7 à 15 cm, blanc et chiné de grisâtre, avec un anneau en jupe; bulbe en oignon sans volve",Blanche,,Douce,Forêts de feuillus et de conifères,Juillet > Novembre,,"Amanite, Champignons comestibles médiocres, CHAMPIGNONS DE AOÛT, CHAMPIGNONS DE JUILLET, CHAMPIGNONS DE NOVEMBRE, CHAMPIGNONS DE OCTOBRE, CHAMPIGNONS DE SEPTEMBRE, Conifères, Feuillus, Lames libres, Lames libres blanches ou crème, Lames ou plis, Les champignons, Un chapeau et un pied"
https://www.guidedeschampignons.com/produit/amanite-fauve-amanita-fulva-comestible-bien-cuit/,AMANITE FAUVE,https://www.guidedeschampignons.com/wp-content/uploads/2020/11/amanita-fulva_Amanite-fauve_lagardere.jpg,,Comestible bien cuit,"3 à 8 cm, lisse, souvent avec un mamelon, fauve ou brun-roux, à bord strié.",,,"Élancé (5 à 12 cm), crème ou un peu roux, sans anneau, creux; volve en sac blanche puis teintée de roux.",Blanche à crème,Sans particularités,Douce,"Forêts de feuillus, surtout sous les bouleaux",Juin > Novembre,,"Amanite, Bouleaux, Champignons comestibles médiocres, CHAMPIGNONS DE AOÛT, CHAMPIGNONS DE JUILLET, CHAMPIGNONS DE JUIN, CHAMPIGNONS DE NOVEMBRE, CHAMPIGNONS DE OCTOBRE, CHAMPIGNONS DE SEPTEMBRE, Feuillus, Lames libres, Lames libres blanches ou crème, Lames ou plis, Les champignons, Un chapeau et un pied"
https://www.guidedeschampignons.com/produit/amanite-jonquille-amanita-junquillea-champignon-toxique/,AMANITE JONQUILLE,https://www.guidedeschampignons.com/wp-content/uploads/2020/11/iStock-495244816_Amanite-jonquille_Amanita-junquillea.jpg,,Toxique,"3 à 10 cm, ocre jaune à jaune orangé, souvent parsemé de flocons blancs, un peu gras",,,"4 à 11 cm, blanc, floconneux, avec un anneau fragile. Bulbe à la base recouvert d’une volve mal formée.",Blanche,Faible,Douce,Forêts de feuillus et de conifères,Juin > Décembre,,"Amanite, CHAMPIGNONS DE AOÛT, CHAMPIGNONS DE DECEMBRE, CHAMPIGNONS DE JUILLET, CHAMPIGNONS DE JUIN, CHAMPIGNONS DE NOVEMBRE, CHAMPIGNONS DE OCTOBRE, CHAMPIGNONS DE SEPTEMBRE, Champignons toxiques, Conifères, Feuillus, Lames libres, Lames libres blanches ou crème, Lames ou plis, Les champignons, Un chapeau et un pied"
https://www.guidedeschampignons.com/produit/amanite-ovoide-amanita-ovoidea-comestible-mediocre/,AMANITE OVOÏDE,https://www.guidedeschampignons.com/wp-content/uploads/2020/11/Amanita-ovoidea_Amanite-ovoïde_lagardere.jpg,,Comestible médiocre,"6 à 30 cm, d’abord en forme d’œuf, très charnu, lisse, blanc à crème, à bord longtemps ourlé de lambeaux de voile blanc",,,"8 à 25 cm, blanc, floconneux, avec un anneau crémeux fragile. Volve ample en sac blanche puis ocre avec l’âge.",Blanche,,Douce,Surtout sous les chênes,Juillet > Octobre,,"Amanite, Champignons comestibles médiocres, CHAMPIGNONS DE AOÛT, CHAMPIGNONS DE JUILLET, CHAMPIGNONS DE OCTOBRE, CHAMPIGNONS DE SEPTEMBRE, Chênes, Feuillus, Lames libres, Lames libres blanches ou crème, Lames ou plis, Les champignons"
https://www.guidedeschampignons.com/produit/lamanite-panthere-amanita-pantherina-champignon-toxique/,AMANITE PANTHÈRE,https://www.guidedeschampignons.com/wp-content/uploads/2020/11/Amanita-pantherina_Amanite-panthere_page.webp,,Toxique,"4 à 12 cm, d’un beau brun à beige-brun, parsemé de flocons blancs, à bord strié à maturité.",,,"5 à 14 cm, blanc, avec un anneau membraneux. Bulbe surmonté d’un bourrelet net (comme un col roulé).",Blanche,,Douce,Forêts de feuillus et de conifères,Juillet > Novembre,"Amanite épaisse, Amanite rougissante","Amanite, CHAMPIGNONS DE AOÛT, CHAMPIGNONS DE JUILLET, CHAMPIGNONS DE NOVEMBRE, CHAMPIGNONS DE OCTOBRE, CHAMPIGNONS DE SEPTEMBRE, Champignons toxiques, Conifères, Feuillus, Lames libres, Lames libres blanches ou crème, Lames ou plis, Les champignons, Un chapeau et un pied"
